Product,Age,Gender,Education,MaritalStatus,Usage,Fitness,Income,Miles,Fitness_comment,age_category,income_grp
KP281,18,Male,14,Single,3,4,29562,112,Good Shape,Teenage,middle_class
KP281,19,Male,15,Single,2,3,31836,75,Average Shape,Teenage,middle_class
KP281,19,Female,14,Partnered,4,3,30699,66,Average Shape,Teenage,middle_class
KP281,19,Male,12,Single,3,3,32973,85,Average Shape,Teenage,middle_class
KP281,20,Male,13,Partnered,4,2,35247,47,Bad Shape,Teenage,middle_class
KP281,20,Female,14,Partnered,3,3,32973,66,Average Shape,Teenage,middle_class
KP281,21,Female,14,Partnered,3,3,35247,75,Average Shape,Adults,middle_class
KP281,21,Male,13,Single,3,3,32973,85,Average Shape,Adults,middle_class
KP281,21,Male,15,Single,5,4,35247,141,Good Shape,Adults,middle_class
KP281,21,Female,15,Partnered,2,3,37521,85,Average Shape,Adults,middle_class
KP281,22,Male,14,Single,3,3,36384,85,Average Shape,Adults,middle_class
KP281,22,Female,14,Partnered,3,2,35247,66,Bad Shape,Adults,middle_class
KP281,22,Female,16,Single,4,3,36384,75,Average Shape,Adults,middle_class
KP281,22,Female,14,Single,3,3,35247,75,Average Shape,Adults,middle_class
KP281,23,Male,16,Partnered,3,1,38658,47,Poor Shape,Adults,middle_class
KP281,23,Male,16,Partnered,3,3,40932,75,Average Shape,Adults,middle_class
KP281,23,Female,14,Single,2,3,34110,103,Average Shape,Adults,middle_class
KP281,23,Male,16,Partnered,4,3,39795,94,Average Shape,Adults,middle_class
KP281,23,Female,16,Single,4,3,38658,113,Average Shape,Adults,middle_class
KP281,23,Female,15,Partnered,2,2,34110,38,Bad Shape,Adults,middle_class
KP281,23,Male,14,Single,4,3,38658,113,Average Shape,Adults,middle_class
KP281,23,Male,16,Single,4,3,40932,94,Average Shape,Adults,middle_class
KP281,24,Female,16,Single,4,3,42069,94,Average Shape,Adults,middle_class
KP281,24,Female,16,Partnered,5,5,44343,188,Excellent Shape,Adults,middle_class
KP281,24,Male,14,Single,2,3,45480,113,Average Shape,Adults,middle_class
KP281,24,Male,13,Partnered,3,2,42069,47,Bad Shape,Adults,middle_class
KP281,24,Female,16,Single,4,3,46617,75,Average Shape,Adults,middle_class
KP281,25,Female,14,Partnered,3,3,48891,75,Average Shape,Adults,middle_class
KP281,25,Male,14,Partnered,2,3,45480,56,Average Shape,Adults,middle_class
KP281,25,Female,14,Partnered,2,2,53439,47,Bad Shape,Adults,upper_middle_class
KP281,25,Female,14,Partnered,3,3,39795,85,Average Shape,Adults,middle_class
KP281,25,Male,16,Single,3,4,40932,113,Good Shape,Adults,middle_class
KP281,25,Female,16,Partnered,2,2,40932,47,Bad Shape,Adults,middle_class
KP281,25,Male,16,Single,3,3,43206,85,Average Shape,Adults,middle_class
KP281,26,Female,14,Partnered,3,4,44343,113,Good Shape,Adults,middle_class
KP281,26,Female,16,Partnered,4,3,52302,113,Average Shape,Adults,upper_middle_class
KP281,26,Male,16,Partnered,2,2,53439,47,Bad Shape,Adults,upper_middle_class
KP281,26,Male,16,Partnered,3,3,51165,85,Average Shape,Adults,upper_middle_class
KP281,26,Female,16,Single,3,3,36384,66,Average Shape,Adults,middle_class
KP281,26,Male,16,Partnered,4,4,44343,132,Good Shape,Adults,middle_class
KP281,26,Male,16,Single,3,3,50028,85,Average Shape,Adults,upper_middle_class
KP281,27,Female,14,Partnered,3,2,45480,66,Bad Shape,Adults,middle_class
KP281,27,Male,16,Single,4,3,54576,85,Average Shape,Adults,upper_middle_class
KP281,27,Female,14,Partnered,2,3,45480,56,Average Shape,Adults,middle_class
KP281,28,Female,14,Partnered,2,3,46617,56,Average Shape,Adults,middle_class
KP281,28,Female,16,Partnered,2,3,52302,66,Average Shape,Adults,upper_middle_class
KP281,28,Male,14,Single,3,3,52302,103,Average Shape,Adults,upper_middle_class
KP281,28,Female,14,Partnered,3,3,54576,94,Average Shape,Adults,upper_middle_class
KP281,28,Male,14,Single,4,3,54576,113,Average Shape,Adults,upper_middle_class
KP281,28,Female,16,Partnered,3,3,51165,56,Average Shape,Adults,upper_middle_class
